% time spent exploring,episodes,mean 100 episode reward,steps
2,13300,1.0,399016
2,13400,1.0,401178
2,13500,1.0,403330
2,13600,1.0,405490
2,13700,1.0,407648
2,13800,1.0,409820
2,13900,1.0,411970
2,14000,1.0,414136
2,14100,1.0,416298
2,14200,1.0,418432
2,14300,1.0,420588
2,14400,1.0,423051
2,14500,1.0,425195
2,14600,1.0,427407
2,14700,1.0,429553
2,14800,1.0,431687
2,14900,1.0,433839
2,15000,1.0,435977
2,15100,1.0,438123
2,15200,1.0,440271
2,15300,1.0,442429
2,15400,1.0,444655
2,15500,1.0,446801
2,15600,1.0,448943
2,15700,1.0,451109
2,15800,1.0,453271
2,15900,1.0,455441
2,16000,1.0,457597
2,16100,1.0,459737
2,16200,1.0,461891
2,16300,1.0,464999
2,16400,1.0,467153
2,16500,1.0,469441
2,16600,1.0,471635
2,16700,1.0,473785
2,16800,1.0,475955
2,16900,1.0,478125
2,17000,1.0,480277
2,17100,1.0,482425
2,17200,1.0,484585
2,17300,1.0,486747
2,17400,1.0,488909
2,17500,1.0,491071
2,17600,1.0,493229
2,17700,1.0,495389
2,17800,1.0,497555
2,17900,1.0,499747
2,18000,1.0,501989
2,18100,1.0,504143
2,18200,1.0,506279
2,18300,1.0,508443
2,18400,1.0,510599
2,18500,1.0,512745
2,18600,1.0,514893
2,18700,1.0,517055
2,18800,1.0,519209
2,18900,1.0,521351
2,19000,1.0,523499
2,19100,1.0,525925
2,19200,1.0,528087
2,19300,1.0,530289
2,19400,1.0,532445
2,19500,1.0,534603
2,19600,1.0,536751
2,19700,1.0,538883
2,19800,1.0,541095
2,19900,1.0,543592
2,20000,1.0,545758
2,20100,1.0,548138
2,20200,1.0,550288
2,20300,1.0,552468
2,20400,1.0,554666
2,20500,1.0,556806
2,20600,1.0,558968
2,20700,1.0,561128
2,20800,1.0,563280
2,20900,1.0,565440
2,21000,1.0,567588
2,21100,1.0,569744
2,21200,1.0,571964
2,21300,1.0,574126
2,21400,1.0,576272
2,21500,1.0,578428
2,21600,1.0,580598
2,21700,1.0,582768
2,21800,1.0,584922
2,21900,1.0,587080
2,22000,1.0,589242
2,22100,1.0,591376
2,22200,1.0,593526
2,22300,1.0,595718
2,22400,1.0,597970
2,22500,1.0,600126
2,22600,1.0,602274
2,22700,1.0,604458
2,22800,1.0,606614
2,22900,1.0,608834
2,23000,1.0,610988
2,23100,1.0,613162
2,23200,1.0,615302
2,23300,1.0,617454
2,23400,1.0,619660
2,23500,1.0,621820
2,23600,1.0,623982
2,23700,1.0,626112
2,23800,1.0,628262
2,23900,1.0,630420
2,24000,1.0,632568
2,24100,1.0,634722
2,24200,1.0,636902
2,24300,1.0,639201
2,24400,1.0,641343
2,24500,1.0,643513
2,24600,1.0,645691
2,24700,1.0,647833
2,24800,1.0,649991
2,24900,1.0,652151
2,25000,1.0,654329
2,25100,1.0,657223
2,25200,1.0,659385
2,25300,1.0,661531
2,25400,1.0,663691
2,25500,1.0,665857
2,25600,1.0,668073
2,25700,1.0,670235
2,25800,1.0,672415
2,25900,1.0,674559
2,26000,1.0,676711
2,26100,1.0,678867
2,26200,1.0,681021
2,26300,1.0,683185
2,26400,1.0,685325
2,26500,1.0,687473
2,26600,1.0,689719
2,26700,1.0,691869
2,26800,1.0,694023
2,26900,1.0,696181
2,27000,1.0,698315
2,27100,1.0,700469
2,27200,1.0,702611
2,27300,1.0,704765
2,27400,1.0,706923
2,27500,1.0,709081
2,27600,1.0,711267
2,27700,1.0,713441
2,27800,1.0,715609
2,27900,1.0,717755
2,28000,1.0,719901
2,28100,1.0,722041
2,28200,1.0,724177
2,28300,1.0,726329
2,28400,1.0,728501
2,28500,1.0,730655
2,28600,1.0,732815
2,28700,1.0,734963
2,28800,1.0,737123
2,28900,1.0,739267
2,29000,1.0,741427
2,29100,1.0,743577
2,29200,1.0,745733
2,29300,1.0,747911
2,29400,1.0,750209
2,29500,1.0,753358
2,29600,1.0,755504
2,29700,1.0,757662
2,29800,1.0,759838
2,29900,1.0,761984
2,30000,1.0,764168
2,30100,1.0,766342
2,30200,1.0,768514
2,30300,1.0,770674
2,30400,1.0,772816
2,30500,1.0,774968
2,30600,1.0,777106
2,30700,1.0,779254
2,30800,1.0,781404
2,30900,1.0,783542
2,31000,1.0,785680
2,31100,1.0,787868
2,31200,1.0,790022
2,31300,1.0,792188
2,31400,1.0,794322
2,31500,1.0,796468
2,31600,1.0,798606
2,31700,1.0,800760
2,31800,1.0,802912
2,31900,1.0,805066
2,32000,1.0,807248
2,32100,1.0,809396
2,32200,1.0,811554
2,32300,1.0,813772
2,32400,1.0,815936
2,32500,1.0,818072
2,32600,1.0,820220
2,32700,1.0,822386
2,32800,1.0,824530
2,32900,1.0,826672
2,33000,1.0,828840
2,33100,1.0,830992
2,33200,1.0,833148
2,33300,1.0,835308
2,33400,1.0,837484
2,33500,1.0,839648
2,33600,1.0,841806
2,33700,1.0,843956
2,33800,1.0,846100
2,33900,1.0,848252
2,34000,1.0,850400
2,34100,1.0,852560
2,34200,1.0,854708
2,34300,1.0,856862
2,34400,1.0,859042
2,34500,1.0,861192
2,34600,1.0,863328
2,34700,1.0,865486
2,34800,1.0,867636
2,34900,1.0,869796
2,35000,1.0,871936
2,35100,1.0,874100
2,35200,1.0,876446
2,35300,1.0,878588
2,35400,1.0,880748
2,35500,1.0,882912
2,35600,1.0,885068
2,35700,1.0,887206
2,35800,1.0,890373
2,35900,1.0,892507
2,36000,1.0,894677
2,36100,1.0,896831
2,36200,1.0,899005
2,36300,1.0,901175
2,36400,1.0,903341
2,36500,1.0,905477
2,36600,1.0,907633
2,36700,1.0,909791
2,36800,1.0,911961
2,36900,1.0,914209
2,37000,1.0,916359
2,37100,1.0,918511
2,37200,1.0,920663
2,37300,1.0,922882
2,37400,1.0,925056
2,37500,1.0,927204
2,37600,1.0,929358
2,37700,1.0,931514
2,37800,1.0,933680
2,37900,1.0,935846
2,38000,1.0,937994
2,38100,1.0,940134
2,38200,1.0,942280
2,38300,1.0,944428
2,38400,1.0,946578
2,38500,1.0,948734
2,38600,1.0,950884
2,38700,1.0,953034
2,38800,1.0,955188
2,38900,1.0,957350
2,39000,1.0,959506
2,39100,1.0,961644
2,39200,1.0,963792
2,39300,1.0,965930
2,39400,1.0,968078
2,39500,1.0,970232
2,39600,1.0,972388
2,39700,1.0,974558
2,39800,1.0,976712
2,39900,1.0,978864
2,40000,1.0,981016
2,40100,1.0,983184
2,40200,1.0,985352
2,40300,1.0,987524
2,40400,1.0,989684
2,40500,1.0,991830
2,40600,1.0,993980
2,40700,1.0,996152
2,40800,1.0,998314
2,40900,1.0,1000470
2,41000,1.0,1002620
2,41100,1.0,1004776
2,41200,1.0,1006934
2,41300,1.0,1009108
2,41400,1.0,1011270
2,41500,1.0,1013440
2,41600,1.0,1015594
2,41700,1.0,1017768
2,41800,1.0,1019910
2,41900,1.0,1022080
2,42000,1.0,1024236
2,42100,1.0,1026388
2,42200,1.0,1028530
2,42300,1.0,1030702
2,42400,1.0,1032850
2,42500,1.0,1034992
2,42600,1.0,1037136
2,42700,1.0,1039300
2,42800,1.0,1041444
2,42900,1.0,1043624
2,43000,1.0,1045798
2,43100,1.0,1047952
2,43200,1.0,1050491
2,43300,1.0,1052633
2,43400,1.0,1054785
2,43500,1.0,1056941
2,43600,1.0,1059097
2,43700,1.0,1061251
2,43800,1.0,1063395
2,43900,1.0,1065555
2,44000,1.0,1067713
2,44100,1.0,1069869
2,44200,1.0,1072029
2,44300,1.0,1074187
2,44400,1.0,1076345
2,44500,1.0,1078511
2,44600,1.0,1080669
2,44700,1.0,1082817
2,44800,1.0,1084971
2,44900,1.0,1087133
2,45000,1.0,1089279
2,45100,1.0,1091431
2,45200,1.0,1093593
2,45300,1.0,1095745
2,45400,1.0,1098017
2,45500,1.0,1100159
2,45600,1.0,1102301
2,45700,1.0,1104445
2,45800,1.0,1106601
2,45900,1.0,1108763
2,46000,1.0,1110923
2,46100,1.0,1113073
2,46200,1.0,1115237
2,46300,1.0,1117421
2,46400,1.0,1119573
2,46500,1.0,1121711
2,46600,1.0,1123865
2,46700,0.9,1128357
2,46800,1.0,1134257
2,46900,1.0,1136393
2,47000,1.0,1138533
2,47100,1.0,1140694
2,47200,1.0,1142842
2,47300,1.0,1144986
2,47400,1.0,1147138
2,47500,1.0,1149294
2,47600,1.0,1151434
2,47700,1.0,1153596
2,47800,1.0,1155752
2,47900,1.0,1157896
2,48000,1.0,1160062
2,48100,1.0,1162222
2,48200,1.0,1164384
2,48300,1.0,1166538
2,48400,1.0,1168700
2,48500,1.0,1170876
2,48600,1.0,1173046
2,48700,1.0,1175202
2,48800,1.0,1177360
2,48900,1.0,1179526
2,49000,1.0,1181680
2,49100,1.0,1183818
2,49200,1.0,1185966
2,49300,1.0,1188124
2,49400,1.0,1190288
2,49500,1.0,1192444
2,49600,1.0,1194592
2,49700,1.0,1196750
2,49800,1.0,1198888
2,49900,1.0,1201040
2,50000,1.0,1203200
2,50100,1.0,1205344
2,50200,1.0,1207496
2,50300,1.0,1209654
2,50400,1.0,1211826
2,50500,1.0,1213968
2,50600,1.0,1216126
2,50700,1.0,1218274
2,50800,1.0,1220430
2,50900,1.0,1222584
2,51000,1.0,1224734
2,51100,1.0,1227006
2,51200,1.0,1229160
2,51300,1.0,1231298
2,51400,1.0,1233444
2,51500,1.0,1235604
2,51600,1.0,1238528
2,51700,1.0,1240694
2,51800,1.0,1242840
2,51900,1.0,1245010
2,52000,1.0,1247164
2,52100,1.0,1249298
2,52200,1.0,1251444
2,52300,1.0,1253612
2,52400,1.0,1255772
2,52500,1.0,1257930
2,52600,1.0,1260092
2,52700,1.0,1262254
2,52800,1.0,1264388
2,52900,1.0,1266542
2,53000,1.0,1268696
2,53100,1.0,1270864
2,53200,1.0,1273004
2,53300,1.0,1275130
2,53400,1.0,1277270
2,53500,1.0,1279406
2,53600,1.0,1281562
2,53700,1.0,1283712
2,53800,1.0,1285871
2,53900,1.0,1288011
2,54000,1.0,1290181
2,54100,1.0,1292321
2,54200,1.0,1294473
2,54300,1.0,1296761
2,54400,1.0,1298941
2,54500,1.0,1301107
2,54600,1.0,1303269
2,54700,1.0,1305407
2,54800,1.0,1307573
2,54900,1.0,1309733
2,55000,1.0,1311877
2,55100,1.0,1314015
2,55200,1.0,1316159
2,55300,1.0,1318331
2,55400,1.0,1320481
2,55500,1.0,1322689
2,55600,1.0,1324841
2,55700,1.0,1326973
2,55800,1.0,1329143
2,55900,1.0,1331305
2,56000,1.0,1333455
2,56100,1.0,1335599
2,56200,1.0,1337737
2,56300,1.0,1339905
2,56400,1.0,1342107
2,56500,1.0,1344277
2,56600,1.0,1346433
2,56700,1.0,1348577
2,56800,1.0,1350737
2,56900,1.0,1352881
2,57000,1.0,1355055
2,57100,1.0,1357219
2,57200,1.0,1359369
2,57300,1.0,1361527
2,57400,1.0,1363669
2,57500,1.0,1365819
2,57600,1.0,1367973
2,57700,1.0,1370129
2,57800,1.0,1372269
2,57900,1.0,1374433
2,58000,1.0,1376605
2,58100,1.0,1378759
2,58200,1.0,1380919
2,58300,1.0,1383065
2,58400,1.0,1385219
2,58500,1.0,1387377
2,58600,1.0,1389519
2,58700,1.0,1391669
2,58800,1.0,1393819
2,58900,1.0,1396013
2,59000,1.0,1399138
2,59100,1.0,1401302
2,59200,1.0,1403462
2,59300,1.0,1405618
2,59400,1.0,1407790
2,59500,1.0,1409936
2,59600,1.0,1412086
2,59700,1.0,1414248
2,59800,1.0,1416404
2,59900,1.0,1418548
2,60000,1.0,1420732
2,60100,1.0,1422882
2,60200,1.0,1425054
2,60300,1.0,1427186
2,60400,1.0,1429340
2,60500,1.0,1431488
2,60600,1.0,1433648
2,60700,1.0,1435800
2,60800,1.0,1437966
2,60900,1.0,1440274
